Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    31769      12267      0          4808       0.39
structure_refs      26259      6151       0          49         0.23
biomes              26259      13643      0          1252       0.52
terrain             26259      60641      1          420        2.31
surface             26259      22476      0          385        0.86
air_carvers         26259      20927      0          913        0.80
fluid_carvers       26259      604        0          109        0.02
decoration          25585      105230     0          516        4.11
mob_spawns          24925      2165       0          144        0.09
structure_searches  0          0          0          0          0.00
Sum                                                             9.32
