Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    24330      16086      0          4892       0.66
structure_refs      2730       398        0          32         0.15
biomes              2730       115312     0          7484       42.24
terrain             2730       15042      1          355        5.51
surface             2730       5093       0          357        1.87
air_carvers         2730       3968       0          319        1.45
fluid_carvers       2730       1468       0          577        0.54
decoration          1742       22902      0          1076       13.15
mob_spawns          1154       533        0          108        0.46
structure_searches  0          0          0          0          0.00
Sum                                                             66.02
