Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    15093      5072       0          1918       0.34
structure_refs      6219       887        0          156        0.14
biomes              6219       51040      0          10453      8.21
terrain             6199       14917      1          219        2.41
surface             6180       5793       0          340        0.94
air_carvers         6185       4180       0          130        0.68
fluid_carvers       6163       148        0          30         0.02
decoration          5507       26832      0          1347       4.87
mob_spawns          4970       284        0          6          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             17.66
