Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    33703      5979       0          1868       0.18
structure_refs      31982      7505       0          107        0.23
biomes              31982      1698161    0          1988       53.10
terrain             31982      88364      0          237        2.76
surface             31982      24884      0          186        0.78
air_carvers         31982      27661      0          267        0.86
fluid_carvers       31982      396        0          4          0.01
decoration          31754      274399     0          867        8.64
mob_spawns          31475      5485       0          86         0.17
structure_searches  0          0          0          0          0.00
Sum                                                             66.74
